timestamp,gender,age,district,marital_status,occupation,education,monthly_income,distance_from_town_living_place,banking_partner,mobile_banking_prior_usage,duration_of_online_banking_usage,faced_with_security_issues,reasons_for_stopping_usage,mobile_banking_ratings,internet_per_day,waiting_at_bank_per_week,distance_to_nearest_bank,transactions,using_smartphone,mistrust_mobile_banking,bank_security_guarantee_needed,heard_mobile_banking,know_mobile_banking,familiar_with_transactions,dislike_new_technology,demo_needed,first_year_free
2020/11/01 1:56:53 PM GMT+5:30,Female,25 - 45,Gampaha,Single,Student,Degree/Diploma,Not relevant,1 - 5 km,Sampath bank;NSB,No,Less than one week,No,Other,Satisfactory,More than 4hrs,Less than 10 mins,More than 1km,Money deposits and withdrawals,Yes,No,Yes,Yes,No,No,No,Yes,Yes
2020/11/01 2:39:20 PM GMT+5:30,Female,16 - 25,Gampaha,Single,Student,Degree/Diploma,Not relevant,1 - 5 km,Sampath bank;NSB,No,,,,,More than 4hrs,Less than 10 mins,More than 1km,Money deposits and withdrawals,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
2020/11/01 2:52:21 PM GMT+5:30,Female,16 - 25,Kalutara,Single,Student,Degree/Diploma,Not relevant,1 - 5 km,People's bank;Sampath bank,No,,,,,More than 4hrs,Less than 10 mins,More than 1km,Money deposits and withdrawals,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2020/11/01 2:52:25 PM GMT+5:30,Female,25 - 45,Colombo,Single,Student,Degree/Diploma,Not relevant,1 - 5 km,People's bank,No,,,,,More than 4hrs,Less than 10 mins,Less than 200m,Money deposits and withdrawals;Check balance,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2020/11/01 2:53:33 PM GMT+5:30,Female,25 - 45,Colombo,Single,Student,Degree/Diploma,Not relevant,Walking distance,BoC,No,,,,,Less than 1hr,10mins - 30mins,200m to 1km,Money deposits and withdrawals,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
2020/11/01 2:54:09 PM GMT+5:30,Male,16 - 25,Colombo,Single,Student,Degree/Diploma,Not relevant,1 - 5 km,Commercial Bank,Yes,One week to one month,No,Other,Very good,More than 4hrs,Less than 10 mins,More than 1km,Money deposits and withdrawals,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
2020/11/01 2:56:19 PM GMT+5:30,Male,25 - 45,Kalutara,Single,Private Employee,Degree/Diploma,"50,000 - 100,000",1 - 5 km,HNB;Commercial Bank,No,,,,,More than 4hrs,Less than 10 mins,More than 1km,Money deposits and withdrawals;Money transfers,Yes,No,No,Yes,Yes,Yes,No,No,No
2020/11/01 2:56:59 PM GMT+5:30,Male,25 - 45,Kalutara,Single,Student,Masters / PHD,Not relevant,1 - 5 km,BoC,Yes,More than 6 months,No,Security issues,Bad,More than 4hrs,Less than 10 mins,More than 1km,Money deposits and withdrawals;Check balance;Money transfers,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
2020/11/01 3:05:27 PM GMT+5:30,Female,25 - 45,Colombo,Single,Student,Degree/Diploma,Not relevant,Walking distance,BoC;NSB,No,,,,,More than 4hrs,Less than 10 mins,More than 1km,Check balance,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2020/11/01 3:18:01 PM GMT+5:30,Female,25 - 45,Kurunegala,Single,Govt Employee ,Masters / PHD,"50,000 - 100,000",Above 5km,BoC,No,,,,,More than 4hrs,10mins - 30mins,More than 1km,Money deposits and withdrawals,Yes,No,Yes,Yes,No,No,No,Yes,Yes
2020/11/01 3:19:20 PM GMT+5:30,Female,25 - 45,Badulla,Single,Student,A/L,Not relevant,Walking distance,People's bank,No,,,,,More than 4hrs,Less than 10 mins,200m to 1km,Money transfers,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
2020/11/01 3:37:07 PM GMT+5:30,Do not like mention,25 - 45,Gampaha,Single,Other,A/L,"above 100,000",Above 5km,People's bank;NTB;HNB;Sampath bank;Seylan Bank;DFCC Bank;NDB Bank,Yes,Less than one week,Yes,Charges were high,Satisfactory,Not using internet,Less than 10 mins,More than 1km,Money deposits and withdrawals,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
2020/11/01 4:05:57 PM GMT+5:30,Male,25 - 45,Gampaha,Single,Student,A/L,Not relevant,1 - 5 km,People's bank;HNB,No,,,,,More than 4hrs,Less than 10 mins,More than 1km,Money deposits and withdrawals,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
2020/11/01 4:27:51 PM GMT+5:30,Male,25 - 45,Gampaha,Single,Private Employee,Degree/Diploma,"above 100,000",Above 5km,BoC;NTB;HNB,Yes,More than 6 months,No,,Good,More than 4hrs,Less than 10 mins,More than 1km,Money deposits and withdrawals;Check balance;Money transfers;Loan payments;Settling credit card statements,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
2020/11/01 4:47:21 PM GMT+5:30,Female,25 - 45,Gampaha,Single,Private Employee,Degree/Diploma,"50,000 - 100,000",Walking distance,Commercial Bank,No,,,,,1hr - 4hrs,Less than 10 mins,Less than 200m,Money deposits and withdrawals;Check balance,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
2020/11/01 5:10:19 PM GMT+5:30,Female,Above 60 years,Ratnapura,Married,Retired,Degree/Diploma,"50,000 - 100,000",Above 5km,People's bank;NSB,No,,,,,1hr - 4hrs,Less than 10 mins,More than 1km,Money deposits and withdrawals;Settling credit card statements,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
2020/11/01 5:44:26 PM GMT+5:30,Female,25 - 45,Gampaha,Single,Private Employee,Degree/Diploma,"50,000 - 100,000",Walking distance,Commercial Bank,No,,,,,1hr - 4hrs,Less than 10 mins,Less than 200m,Money deposits and withdrawals;Check balance,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
2020/11/01 5:47:05 PM GMT+5:30,Female,25 - 45,Gampaha,Single,Private Employee,Degree/Diploma,"50,000 - 100,000",Walking distance,Commercial Bank,No,,,,,1hr - 4hrs,Less than 10 mins,Less than 200m,Money deposits and withdrawals;Check balance,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
2020/11/01 8:55:18 PM GMT+5:30,Female,25 - 45,Matara,Single,Private Employee,Degree/Diploma,"50,000 - 100,000",Above 5km,BoC;People's bank;NSB,No,,,,,More than 4hrs,More than 30 mins,More than 1km,Money deposits and withdrawals;Check balance;Money transfers;Loan payments,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
2020/11/01 8:57:07 PM GMT+5:30,Female,Above 60 years,Matara,Married,Retired,Degree/Diploma,"50,000 - 100,000",Above 5km,BoC;People's bank;Sampath bank;NSB,No,,,,,Not using internet,More than 30 mins,More than 1km,Money deposits and withdrawals;Check balance;Loan payments,No,Yes,Yes,Yes,No,No,No,Yes,Yes
2020/11/01 9:27:22 PM GMT+5:30,Male,Above 60 years,Gampaha,Married,Govt Employee ,Other,"15,000 - 50,000",Above 5km,BoC,No,,,,,Not using internet,Less than 10 mins,More than 1km,Money deposits and withdrawals;Check balance,No,Yes,No,Yes,No,No,Yes,Yes,No
2020/11/01 9:28:28 PM GMT+5:30,Female,Above 60 years,Gampaha,Married,Housewife,A/L,Not relevant,Above 5km,BoC,No,,,,,Not using internet,Less than 10 mins,More than 1km,Money deposits and withdrawals;Check balance,No,Yes,No,Yes,No,No,Yes,Yes,No
2020/11/01 9:36:11 PM GMT+5:30,Male,Above 60 years,Kilinochchi,Married,Retired,Masters / PHD,"above 100,000",Walking distance,HNB,Yes,More than 6 months,No,Other,Good,More than 4hrs,10mins - 30mins,More than 1km,Money deposits and withdrawals,Yes,No,No,No,No,No,No,No,No
